ID,ItemID,OptionNum,Name,Type,Attributes,Active
172,222,1,Sizes available,Radio Button,2 gal. bare root ~5 gal. bare root:25.00,Yes
173,223,1,Sizes available,Drop Down,24 inch + rooted plant (5+ canes):75.00,Yes
174,224,1,Sizes available,Drop Down,(1) 8 -12 inch plant:15.00~(2) 8 -12 inch plants:25.00~(10) 8 -12 inch plants:75.00,Yes
175,225,1,Sizes available,Drop Down,(3) 2-4 inch plants:10.00~(10) 2-4 inch plants:20.00~(50) 2-4 inch plants:50.00,Yes
176,226,1,Sizes available,Drop Down,12” plant bare root:30.00,Yes
177,227,1,Sizes available,Drop Down,20-24 inch plant:30.00,Yes
178,228,1,Sizes available,Drop Down,3-4 inch unrooted cutting:8.5~6 inch unrooted cutting:17.50~12 inch unrooted cutting:40.00~16-18 inch unrooted cutting:75.00~20-24 inch unrooted cutting:95.00,Yes
179,229,1,Sizes available,Drop Down,7-8 inch unrooted cutting:20.00~12-13 inch unrooted cutting:25.00~24-26 inch unrooted cutting:75.00,Yes
180,230,1,Sizes available,Drop Down,6-8 inch unrooted cutting:15.00~12-14 inch unrooted cutting:35.00~24-26 inch unrooted cutting:75.00~36-38 inch unrooted cutting:145.00~48-50 inch unrooted cutting:200.00,Yes
181,231,1,Sizes available,Drop Down,12-13 inch unrooted cutting:25.00~22-24 inch unrooted cutting:50.00~34-36 inch unrooted cutting:80.00~48-50 inch unrooted cutting:120.00,Yes
182,232,1,Sizes available,Drop Down,(1)  unrooted cutting (8 inch +):15.00~(10)  unrooted cuttings (8 inch+):100.00~(20) unrooted cuttings (8 inch+):150.00,Yes
183,233,1,Sizes available,Drop Down,10-12 inch plant:20,Yes
184,234,1,Sizes available,Drop Down,4 inch plant:8,Yes
185,235,1,Sizes available,Drop Down,(10) 5-7 inch unrooted cuttings:20.00,Yes
186,236,1,Sizes available,Drop Down,14-15 inch plant:60.00,Yes
187,237,1,Sizes available,Drop Down,3.5 inch rooted plant:8.00,Yes
188,238,1,Sizes available,Drop Down,(1) 10-12 inch unrooted cutting:12.50~(3) 10-12 inch unrooted cuttings:30.00~(10) 10-12 inch unrooted cuttings:75.00,Yes
189,239,1,Sizes available,Drop Down,(1) 8-10 inch rooted plant:20.00~(1) 13-14 inch rooted plant:30.00~(1) 10-12 unrooted cutting:20.00~(5) 10-12 unrooted cuttings:75.00~(1) 22-24 unrooted cutting:50.00~(1) 32-36 unrooted cutting:100.00,Yes
190,240,1,Sizes available,Drop Down,12 inch unrooted cutting (3 inch diameter):35.00~16 inch unrooted cutting (3 inch diameter):60.00~24 inch unrooted cutting (3-4 inch diameter):95.00~30 inch unrooted cutting (3-4  inch diameter):135.00,Yes
191,241,1,Sizes available,Drop Down,16 inch unrooted cutting:75.00~24-25 inch unrooted cutting:110.00~30 inch unrooted cutting:160.00,Yes
192,242,1,Sizes available,Drop Down,2 inch pot (3” plant):6.00,Yes
193,243,1,Gift Certificate Amounts,Drop Down,Gift Certificate:25.00~Gift Certificate:40.00~Gift Certificate:50.00~Gift Certificate:75.00~Gift Certificate:175.00,Yes
200,248,1,Sizes available,Drop Down,(3) 3- 6 inch cuttings:15.00~(10) 3- 6 inch cuttings:30.00,Yes
2613,2657,1,Select quantity,Drop Down,8 oz.:195.00~1 lb.:295.00,Yes
356,15,1,Sizes available,Drop Down,6-8 inch plant:25.00~12-14 inch plant:40.00,Yes
196,245,1,Sizes available,Drop Down,16-20 inch plant:75.00,Yes
197,40,1,Sizes available,Drop Down,12 inch unrooted cutting:20.00,Yes
203,250,1,Sizes available,Drop Down,1 oz.:30.00~4 oz.:80.00~8 oz.:130.00~1 lb.:220.00,Yes
198,246,1,Sizes available,Drop Down,(1) 5-7 inch unrooted cutting:12.00~(5) 5-7 inch unrooted cuttings:35.00~(10) 5-7 inch unrooted cuttings:60.00,Yes
201,11,1,Sizes available,Drop Down,(1) 8-14 inch cutting:15.00~(5) 8-14 inch cuttings:35.00~(10) 8-14 inch cuttings:50.00,Yes
